epoch,batch,loss,val_loss
348,end,0.232256,4.670255
349,0,0.479400,
349,end,0.479400,4.672058
350,0,0.582415,
350,end,0.582415,4.675175
351,0,0.456878,
351,end,0.456878,4.682847
352,0,0.188752,
352,end,0.188752,4.693624
353,0,0.243340,
353,end,0.243340,4.701673
354,0,0.228965,
354,end,0.228965,4.709136
355,0,0.175423,
355,end,0.175423,4.712129
356,0,0.389979,
356,end,0.389979,4.711119
357,0,0.460347,
357,end,0.460347,4.711000
358,0,0.284780,
358,end,0.284780,4.711580
359,0,0.410412,
359,end,0.410412,4.713790
360,0,0.493433,
360,end,0.493433,4.716001
361,0,0.403878,
361,end,0.403878,4.717637
362,0,0.270559,
362,end,0.270559,4.717203
363,0,0.284490,
363,end,0.284490,4.716064
364,0,0.163673,
364,end,0.163673,4.718642
365,0,0.222102,
365,end,0.222102,4.716902
366,0,0.321490,
366,end,0.321490,4.715886
367,0,0.251805,
367,end,0.251805,4.721376
368,0,0.277181,
368,end,0.277181,4.729191
369,0,0.173222,
369,end,0.173222,4.739492
370,0,0.370582,
370,end,0.370582,4.746531
371,0,0.385765,
371,end,0.385765,4.748539
372,0,0.343327,
372,end,0.343327,4.743458
373,0,0.367593,
373,end,0.367593,4.736639
374,0,0.251536,
374,end,0.251536,4.729903
375,0,0.440147,
375,end,0.440147,4.725020
376,0,0.563733,
376,end,0.563733,4.722655
377,0,0.462052,
377,end,0.462052,4.721261
378,0,0.149321,
378,end,0.149321,4.720258
379,0,0.398458,
379,end,0.398458,4.720524
380,0,0.432104,
380,end,0.432104,4.719789
381,0,0.293081,
381,end,0.293081,4.713867
382,0,0.299183,
382,end,0.299183,4.709680
383,0,0.181901,
383,end,0.181901,4.703841
384,0,0.149711,
384,end,0.149711,4.699154
385,0,0.328471,
385,end,0.328471,4.697735
386,0,0.291756,
386,end,0.291756,4.695860
387,0,0.286424,
387,end,0.286424,4.695718
388,0,0.567848,
388,end,0.567848,4.693021
389,0,0.573018,
389,end,0.573018,4.688050
390,0,0.334675,
390,end,0.334675,4.679820
391,0,0.335457,
391,end,0.335457,4.677260
392,0,0.486731,
392,end,0.486731,4.678334
393,0,0.436969,
393,end,0.436969,4.681928
394,0,0.309939,
394,end,0.309939,4.680945
395,0,0.334542,
395,end,0.334542,4.679001
396,0,0.316654,
396,end,0.316654,4.672309
397,0,0.183513,
397,end,0.183513,4.667295
398,0,0.145281,
398,end,0.145281,4.663270
399,0,0.417702,
399,end,0.417702,4.654781
400,0,0.456657,
400,end,0.456657,4.645908
401,0,0.196887,
401,end,0.196887,4.634533
402,0,0.500490,
402,end,0.500490,4.627862
403,0,0.697213,
403,end,0.697213,4.624327
404,0,0.662613,
404,end,0.662613,4.624779
405,0,0.449388,
405,end,0.449388,4.631220
406,0,0.276119,
406,end,0.276119,4.633310
407,0,0.387398,
407,end,0.387398,4.632028
408,0,0.198915,
408,end,0.198915,4.626534
409,0,0.450590,
409,end,0.450590,4.624407
410,0,0.558669,
410,end,0.558669,4.623670
411,0,0.414051,
411,end,0.414051,4.624712
412,0,0.193481,
412,end,0.193481,4.619678
413,0,0.296925,
413,end,0.296925,4.610997
414,0,0.219880,
414,end,0.219880,4.607688
415,0,0.160042,
415,end,0.160042,4.608569
416,0,0.361905,
416,end,0.361905,4.604419
417,0,0.393273,
417,end,0.393273,4.594681
418,0,0.160476,
418,end,0.160476,4.578346
419,0,0.499509,
419,end,0.499509,4.566275
420,0,0.666787,
420,end,0.666787,4.557410
421,0,0.631819,
421,end,0.631819,4.554012
422,0,0.443648,
422,end,0.443648,4.555480
423,0,0.146517,
423,end,0.146517,4.551205
424,0,0.279754,
424,end,0.279754,4.539478
425,0,0.262892,
425,end,0.262892,4.521441
426,0,0.319595,
426,end,0.319595,4.509626
427,0,0.138216,
427,end,0.138216,4.500683
428,0,0.277517,
428,end,0.277517,4.487222
429,0,0.205806,
429,end,0.205806,4.483553
430,0,0.304059,
430,end,0.304059,4.485777
431,0,0.222177,
431,end,0.222177,4.479746
432,0,0.211318,
432,end,0.211318,4.463508
433,0,0.179877,
433,end,0.179877,4.440096
434,0,0.153539,
434,end,0.153539,4.422667
435,0,0.230950,
435,end,0.230950,4.415112
436,0,0.271468,
436,end,0.271468,4.405655
437,0,0.117523,
437,end,0.117523,4.399262
438,0,0.130650,
438,end,0.130650,4.383998
439,0,0.161336,
439,end,0.161336,4.377885
440,0,0.094773,
440,end,0.094773,4.367576
441,0,0.272219,
441,end,0.272219,4.360668
442,0,0.184830,
442,end,0.184830,4.358089
443,0,0.384576,
443,end,0.384576,4.347581
444,0,0.467936,
444,end,0.467936,4.333974
445,0,0.282565,
445,end,0.282565,4.312393
446,0,0.332538,
446,end,0.332538,4.290758
447,0,0.462087,
447,end,0.462087,4.273719
448,0,0.352452,
448,end,0.352452,4.264307
449,0,0.204894,
449,end,0.204894,4.247289
450,0,0.284987,
450,end,0.284987,4.224884
451,0,0.162622,
451,end,0.162622,4.197518
452,0,0.380311,
452,end,0.380311,4.179692
453,0,0.383804,
453,end,0.383804,4.169346
454,0,0.245557,
454,end,0.245557,4.163826
455,0,0.468744,
455,end,0.468744,4.149427
456,0,0.446634,
456,end,0.446634,4.127068
457,0,0.166304,
457,end,0.166304,4.096927
458,0,0.479509,
458,end,0.479509,4.075235
459,0,0.687083,
459,end,0.687083,4.062273
460,0,0.705763,
460,end,0.705763,4.055114
461,0,0.565280,
461,end,0.565280,4.055080
462,0,0.277394,
462,end,0.277394,4.050444
463,0,0.342424,
463,end,0.342424,4.034313
464,0,0.339250,
464,end,0.339250,4.007401
465,0,0.180337,
465,end,0.180337,3.964797
466,0,0.531666,
466,end,0.531666,3.935433
467,0,0.692832,
467,end,0.692832,3.914851
468,0,0.673797,
468,end,0.673797,3.903529
469,0,0.470672,
469,end,0.470672,3.900632
470,0,0.182785,
470,end,0.182785,3.885607
471,0,0.269273,
471,end,0.269273,3.862905
472,0,0.115601,
472,end,0.115601,3.849705
473,0,0.215850,
473,end,0.215850,3.848839
474,0,0.156222,
474,end,0.156222,3.839184
475,0,0.189195,
475,end,0.189195,3.814968
476,0,0.170228,
476,end,0.170228,3.782665
477,0,0.282734,
477,end,0.282734,3.762953
478,0,0.146307,
478,end,0.146307,3.761935
479,0,0.408681,
479,end,0.408681,3.746672
480,0,0.496661,
480,end,0.496661,3.719864
481,0,0.351322,
481,end,0.351322,3.679835
482,0,0.316135,
482,end,0.316135,3.659008
483,0,0.362910,
483,end,0.362910,3.652466
484,0,0.211952,
484,end,0.211952,3.650784
485,0,0.112163,
485,end,0.112163,3.632412
486,0,0.221320,
486,end,0.221320,3.629445
487,0,0.244518,
487,end,0.244518,3.617373
488,0,0.193314,
488,end,0.193314,3.596169
489,0,0.253440,
489,end,0.253440,3.563328
490,0,0.072130,
490,end,0.072130,3.515722
491,0,0.459151,
491,end,0.459151,3.483832
492,0,0.628365,
492,end,0.628365,3.466732
493,0,0.588940,
493,end,0.588940,3.463234
494,0,0.331378,
494,end,0.331378,3.474451
495,0,0.325880,
495,end,0.325880,3.468829
496,0,0.510169,
496,end,0.510169,3.449031
497,0,0.432273,
497,end,0.432273,3.415221
498,0,0.099603,
498,end,0.099603,3.361865
499,0,0.554717,
499,end,0.554717,3.328705
500,0,0.762457,
500,end,0.762457,3.314752
501,0,0.820132,
501,end,0.820132,3.313118
502,0,0.760632,
502,end,0.760632,3.320972
503,0,0.562831,
503,end,0.562831,3.340028
504,0,0.288255,
504,end,0.288255,3.348799
505,0,0.406716,
505,end,0.406716,3.335803
506,0,0.535598,
506,end,0.535598,3.301849
507,0,0.436545,
507,end,0.436545,3.248209
508,0,0.094947,
508,end,0.094947,3.200314
509,0,0.358530,
509,end,0.358530,3.176913
510,0,0.425664,
510,end,0.425664,3.173480
511,0,0.371782,
511,end,0.371782,3.164634
512,0,0.286301,
512,end,0.286301,3.151024
513,0,0.351954,
513,end,0.351954,3.114900
514,0,0.281905,
514,end,0.281905,3.059512
515,0,0.381908,
515,end,0.381908,3.030972
516,0,0.400636,
516,end,0.400636,3.025838
517,0,0.263317,
517,end,0.263317,3.004735
518,0,0.280797,
518,end,0.280797,2.965492
519,0,0.251192,
519,end,0.251192,2.914586
520,0,0.187445,
520,end,0.187445,2.884269
521,0,0.207981,
521,end,0.207981,2.838756
522,0,0.263495,
522,end,0.263495,2.807237
523,0,0.316047,
523,end,0.316047,2.805396
524,0,0.231881,
524,end,0.231881,2.815351
525,0,0.245894,
525,end,0.245894,2.800052
526,0,0.146380,
526,end,0.146380,2.756319
527,0,0.393048,
527,end,0.393048,2.730132
528,0,0.540311,
528,end,0.540311,2.727631
529,0,0.470808,
529,end,0.470808,2.748088
530,0,0.344911,
530,end,0.344911,2.752916
531,0,0.341000,
531,end,0.341000,2.741179
532,0,0.549075,
532,end,0.549075,2.708466
533,0,0.507894,
533,end,0.507894,2.651717
534,0,0.290706,
534,end,0.290706,2.572042
535,0,0.431445,
535,end,0.431445,2.530532
536,0,0.590219,
536,end,0.590219,2.524771
537,0,0.501319,
537,end,0.501319,2.553983
538,0,0.304568,
538,end,0.304568,2.582388
539,0,0.379040,
539,end,0.379040,2.574532
540,0,0.362356,
540,end,0.362356,2.534703
541,0,0.243213,
541,end,0.243213,2.517741
542,0,0.169584,
542,end,0.169584,2.535501
543,0,0.253267,
543,end,0.253267,2.525040
544,0,0.305495,
544,end,0.305495,2.510734
545,0,0.261159,
545,end,0.261159,2.469745
546,0,0.191216,
546,end,0.191216,2.421823
547,0,0.369473,
547,end,0.369473,2.402277
548,0,0.361420,
548,end,0.361420,2.408334
549,0,0.253866,
549,end,0.253866,2.412395
550,0,0.343650,
550,end,0.343650,2.383424
551,0,0.321039,
551,end,0.321039,2.325347
552,0,0.271852,
552,end,0.271852,2.315666
553,0,0.247959,
553,end,0.247959,2.350940
554,0,0.229328,
554,end,0.229328,2.342304
555,0,0.219401,
555,end,0.219401,2.289082
556,0,0.229149,
556,end,0.229149,2.265385
557,0,0.253663,
557,end,0.253663,2.288147
558,0,0.158441,
558,end,0.158441,2.300578
559,0,0.321353,
559,end,0.321353,2.268192
560,0,0.259707,
560,end,0.259707,2.204799
561,0,0.173136,
561,end,0.173136,2.197685
562,0,0.177682,
562,end,0.177682,2.221406
563,0,0.262894,
563,end,0.262894,2.194081
564,0,0.219387,
564,end,0.219387,2.121557
565,0,0.282461,
565,end,0.282461,2.105805
566,0,0.283332,
566,end,0.283332,2.141681
567,0,0.128044,
567,end,0.128044,2.167724
568,0,0.338079,
568,end,0.338079,2.143575
569,0,0.278202,
569,end,0.278202,2.086183
570,0,0.242201,
570,end,0.242201,2.035365
571,0,0.413120,
571,end,0.413120,2.025735
572,0,0.400919,
572,end,0.400919,2.055233
573,0,0.239295,
573,end,0.239295,2.107748
574,0,0.426776,
574,end,0.426776,2.109510
575,0,0.546261,
575,end,0.546261,2.071224
576,0,0.477913,
576,end,0.477913,1.990213
577,0,0.192607,
577,end,0.192607,1.868124
578,0,0.529625,
578,end,0.529625,1.804780
579,0,0.693779,
579,end,0.693779,1.796941
580,0,0.684128,
580,end,0.684128,1.828776
